Code ,Product ,Description,Type ,Fridge
6324,Mythos Greek Lager 500ml Bottles,,Bottles,Fridge
6641,Adnams Broadside 500ml Bottles,,Bottles,Fridge
6638,Aspall Cyder 500ml Bottles,Imperial Vintage,Bottles,Fridge
6639,Aspall Cyder 500ml Bottles,Organic,Bottles,Fridge
6640,Aspall Cyder 500ml Bottles,Premier Cru,Bottles,Fridge
2062,Frosty Jacks Cider 3 Litre,White,Bottles,Fridge
8578,Kingstone Press Cider 500ml Bottles,Press Apple ,Bottles,Fridge
8579,Kingstone Press Cider 500ml Bottles,Pear,Bottles,Fridge
14920,Stones Bitter 440ml Cans,,Cans,Fridge
15190,Grolsch Lager 440ml Cans,,Cans,Fridge
5119,Carling Lager 500ml Cans,,Cans,Fridge
5350,Caffrey's 440ml Cans,,Cans,Fridge
8649,Carling Cider 500ml Bottles,Cherry,Bottles,Fridge
5359,Carling Lager 20x440ml Cans,,Cans,
5575,Cobra Premium Beer 660ml Bottles,,Bottles,Fridge
5726,Carling Lager 4x568ml 'Pint' Cans,,Cans,
5732,Coors Light 440ml (4%) Cans ,,Cans,Fridge
5733,Coors Light 4% 12x330ml Bottles,,Bottles,
5772,Corona Extra 4x330ml Bottles,,Bottles,Fridge
8937,Cobra 500ml Cans,,Cans,Fridge
6160,Carling Cider 500ml Bottles,,Bottles,Fridge
6383,Cobra Premium Beer 12x330ml Bottles ,,Bottles,
6386,Corona Extra 10x330ml Bottles,,Bottles,
6387,Grolsch Lager 12x330ml Bottles,,Bottles,
6491,Sharps Doom Bar Ale 500ml Bottles,,Bottles,Fridge
6594,Singha 4x330ml Bottles ,,Bottles,
6595,Blue Moon 355ml Bottles ,,Bottles,Fridge
6601,Worthingtons White Shield 500ml Bottles,,Bottles,Fridge
75940,Worthingtons Creamflow 440ml Cans,,Cans,Fridge
76250,Breaker Lager 500ml Cans,,Cans,Fridge
76600,Carling Premier 440ml Cans,,Cans,Fridge
8562,Carling Lager 10x440ml Cans,,Cans,
8581,Carling 12x300ml Bottles,Zest,Bottles,
8582,Carling 4x300ml Bottles,Citrus Zest,Bottles,
8459,Carling 15x440ml Cans,,Cans,
5851,Carling 12x330ml Cans,Zest,Cans,
9076,Carling Cider 500ml Bottles,Orchard Fruit,Bottles,Fridge
5116,Carling Lager 15x440ml Cans,,Cans,
9030,Carling Cider 15x440ml Cans,,Cans,
5365,Bavaria Premium Lager 440ml Cans,,Cans,Fridge
5647,Bavaria Shandy 6x330ml Cans,,Cans,
5926,Bavaria 8.6 500ml (7.9%) Cans,Original ,Cans,Fridge
8766,Bavaria 4x330ml Bottles ,Alcohol Free,Bottles,
9060,Hollandia 7.5% 500ml Cans,,Cans,Fridge
6315,Butcombe Bitter 500ml Bottles,,Bottles,Fridge
5135,Black Sheep Ale 500ml Bottles ,,Bottles,Fridge
5196,Brothers Cider 500ml Bottles,Strawberry ,Bottles,Fridge
5456,Brothers Cider 500ml Bottles,Toffee Apple,Bottles,Fridge
